property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day
3051476,373,https://www.zameen.com/Property/lahore_valencia_housing_society_a_home_you_desire_to_live-3051476-373-1.html,House,65000000,Very High,Valencia Housing Society,Lahore,Punjab,"Valencia Housing Society, Lahore, Punjab",31.40537,74.257078,0,2 Kanal,40,10890.04,For Sale,0,06/02/2019,2019,6,2
3217881,3852,https://www.zameen.com/Property/gulberg_main_boulevard_gulberg_house_for_sale_ideal_for_mega_multi_billion_project-3217881-3852-1.html,House,1250000000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.519435,74.345548,0,8 Kanal,160,43560.16,For Sale,0,02/03/2019,2019,2,3
3222456,893,https://www.zameen.com/Property/lahore_gulshan_e_ravi_22_marla_house_for_sale-3222456-893-1.html,House,42500000,Very High,Gulshan-e-Ravi,Lahore,Punjab,"Gulshan-e-Ravi, Lahore, Punjab",31.551184,74.284058,8,1.1 Kanal,22,5989.52,For Sale,8,04/04/2019,2019,4,4
3242351,4280,https://www.zameen.com/Property/valencia_housing_society_valencia_block_h_house_for_sale__best_for_commercial_purposes-3242351-4280-1.html,House,66500000,Very High,Valencia Housing Society,Lahore,Punjab,"Valencia Housing Society, Lahore, Punjab",31.400096,74.259682,0,2 Kanal,40,10890.04,For Sale,0,04/03/2019,2019,4,3
3277952,8444,https://www.zameen.com/Property/al_raheem_garden_al_raheem_garden_phase_4_brand_new_6_marla_corner_fully_covered_house-3277952-8444-1.html,House,12000000,Medium,Al-Raheem Garden,Lahore,Punjab,"Al-Raheem Garden, Lahore, Punjab",31.597234,74.474513,5,6 Marla,6,1633.51,For Sale,5,07/03/2019,2019,7,3
3292607,3745,https://www.zameen.com/Property/eme_society_eme_society_block_a_double_storey_house_for_sale_in_eme-3292607-3745-1.html,House,40000000,Very High,EME Society,Lahore,Punjab,"EME Society, Lahore, Punjab",31.437744,74.21349,7,1 Kanal,20,5445.02,For Sale,6,04/04/2019,2019,4,4
3341826,3824,https://www.zameen.com/Property/gulberg_gulberg_3_4_kanal_15_marla_old_house_is_available_for_sale_gulberg_3_lahore-3341826-3824-1.html,House,180000000,Very High,Gulberg,Lahore,Punjab,"Gulberg, Lahore, Punjab",31.505678,74.348202,7,4.7 Kanal,94,25591.59,For Sale,5,07/03/2019,2019,7,3
3442797,4349,https://www.zameen.com/Property/lahore_mateen_avenue_house_available_for_sale-3442797-4349-1.html,House,17000000,High,Mateen Avenue,Lahore,Punjab,"Mateen Avenue, Lahore, Punjab",31.441992,74.291389,6,9.7 Marla,9.7,2640.83,For Sale,5,03/05/2019,2019,3,5
3463063,3748,https://www.zameen.com/Property/eme_society_eme_society_block_d_21st_century_house_for_sale-3463063-3748-1.html,House,47500000,Very High,EME Society,Lahore,Punjab,"EME Society, Lahore, Punjab",31.434668,74.214005,0,1 Kanal,20,5445.02,For Sale,0,05/03/2019,2019,5,3
3507838,4113,https://www.zameen.com/Property/paragon_city_paragon_city_orchard_block_house_is_available_for_sale-3507838-4113-1.html,House,17000000,High,Paragon City,Lahore,Punjab,"Paragon City, Lahore, Punjab",31.530739,74.456184,5,10 Marla,10,2722.51,For Sale,5,06/11/2019,2019,6,11
3541183,8425,https://www.zameen.com/Property/lahore_iep_engineers_town_good_location_double_storey_house_in_iep_engineering_town_on_main_defence_road-3541183-8425-1.html,House,25000000,High,IEP Engineers Town,Lahore,Punjab,"IEP Engineers Town, Lahore, Punjab",31.402513,74.292798,5,18 Marla,18,4900.52,For Sale,4,02/01/2019,2019,2,1
3892035,1784,https://www.zameen.com/Property/bahria_town_bahria_town_sector_c_best_quality_10_marla_brand_new_house_for_sale_in_bahria_town_lahore-3892035-1784-1.html,House,17600000,High,Bahria Town,Lahore,Punjab,"Bahria Town, Lahore, Punjab",31.374195,74.191482,6,10 Marla,10,2722.51,For Sale,5,05/03/2019,2019,5,3
3892037,1784,https://www.zameen.com/Property/bahria_town_bahria_town_sector_c_fine_quality_11_marla_brand_new_house_for_sale_in_bahria_town_lahore_in_sector_c-3892037-1784-1.html,House,17500000,High,Bahria Town,Lahore,Punjab,"Bahria Town, Lahore, Punjab",31.374195,74.191482,6,10 Marla,10,2722.51,For Sale,5,05/03/2019,2019,5,3
3931877,10542,https://www.zameen.com/Property/askari_10_askari_10_sector_f_17_marla_brand_new_brigadier_house_for_sale-3931877-10542-1.html,House,35000000,Very High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.533849,74.409633,5,17 Marla,17,4628.27,For Sale,4,06-18-2019,2019,6,18
3931998,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_10_marla_grid_design_house_available_for_sale-3931998-9433-1.html,House,22000000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.537458,74.413323,5,10 Marla,10,2722.51,For Sale,4,06-18-2019,2019,6,18
3932053,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_haider_with_basement_for_sale-3932053-9435-1.html,House,23500000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.533161,74.419481,6,10 Marla,10,2722.51,For Sale,5,06-18-2019,2019,6,18
3932098,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_1_kanal_khalid_design_house_available_for_sale-3932098-9435-1.html,House,41500000,Very High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.533161,74.419481,6,1 Kanal,20,5445.02,For Sale,5,06-18-2019,2019,6,18
3932130,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_integrated_design_house_is_available_for_sale-3932130-9435-1.html,House,23000000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.533161,74.419481,5,10 Marla,10,2722.51,For Sale,4,06-18-2019,2019,6,18
3932163,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_10_marla_haider_with_basement_designed_house_available_for_sale-3932163-9434-1.html,House,23000000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.53327,74.41358,5,10 Marla,10,2722.51,For Sale,4,06-18-2019,2019,6,18
3932175,9436,https://www.zameen.com/Property/askari_10_askari_10_sector_e_10_marla_rdi_design_house_is_available_for_sale-3932175-9436-1.html,House,20500000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.536068,74.408666,4,10 Marla,10,2722.51,For Sale,3,06-18-2019,2019,6,18
3932182,9436,https://www.zameen.com/Property/askari_10_askari_10_sector_e_10_marla_main_boulevard_rdi_design_house_is_available_for_sale-3932182-9436-1.html,House,21000000,High,Askari,Lahore,Punjab,"Askari, Lahore, Punjab",31.536068,74.408666,4,10 Marla,10,2722.51,For Sale,3,06-18-2019,2019,6,18
3965775,1242,https://www.zameen.com/Property/lahore_architects_engineers_housing_society_brand_new_house_for_sale-3965775-1242-1.html,House,19200000,High,Architects Engineers Housing Society,Lahore,Punjab,"Architects Engineers Housing Society, Lahore, Punjab",31.443749,74.259152,7,10 Marla,10,2722.51,For Sale,5,02/03/2019,2019,2,3
3977801,4116,https://www.zameen.com/Property/paragon_city_paragon_city_executive_block_hot_deal_4_marla_house_for_sale-3977801-4116-1.html,House,7700000,Low,Paragon City,Lahore,Punjab,"Paragon City, Lahore, Punjab",31.533372,74.451342,4,4 Marla,4,1089,For Sale,3,06/12/2019,2019,6,12
3991627,8172,https://www.zameen.com/Property/dha_defence_defence_raya_10_marla_defence_raya_villa_for_sale-3991627-8172-1.html,House,21500000,High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.469155,74.470553,5,10 Marla,10,2722.51,For Sale,4,06-25-2019,2019,6,25
3998897,1796,https://www.zameen.com/Property/bahria_town_bahria_town_sector_d_5_marla_brand_new_house_for_sale_in_bahria_town_lahore_in_sector_d-3998897-1796-1.html,House,11800000,Medium,Bahria Town,Lahore,Punjab,"Bahria Town, Lahore, Punjab",31.374414,74.177749,4,5 Marla,5,1361.25,For Sale,3,05/03/2019,2019,5,3
4015309,8172,https://www.zameen.com/Property/dha_defence_defence_raya_14_marla_house_for_sale_in_dha_raya-4015309-8172-1.html,House,26500000,High,DHA Defence,Lahore,Punjab,"DHA Defence, Lahore, Punjab",31.469155,74.470553,5,14 Marla,14,3811.51,For Sale,4,06-25-2019,2019,6,25
